text;text_cleaned_full;manual
kepo bgt adekkkk??????????????;kepo adekkkk;negatif
"buah jatuh se pohon "" nya????";buah jatuh se pohon nya;negatif
Cushion Nya kegelapan ga sihhh??;cushion nya kegelapan sihhh;negatif
LU APAIN PONI BOCIL ITU KAK JENNN?!!! KENAPA LU BUAT SUNGSANG BEGITU PONI NYA KAK JENNNNNNN??;lu apain poni bocil kak jennn kenapa lu buat sungsang begitu poni nya kak jennnnnnn;negatif
mayi gamau kalah cantik sama mamanya????;mayi gamau kalah cantik sama mamanya;negatif
siapa si yang motong poni kamari ????;siapa si motong poni kamari;negatif
sibuk banget kamari ????????;sibuk kamari;negatif
di aku kok timephoria cepet bgt ya ngesetnya jd agk susah mau di blend, apa kurang skinprep?;kok timephoria cepet ngesetnya agk susah mau blend apa kurang skinprep;negatif
Btw yg motong poninya kamari siapa sih guys ??;motong poninya kamari siapa;negatif
sebenernya gue anteng cuma liatin kamari till;sebenernya gue anteng cuma liatin kamari till;negatif
mayii lu udah putihh bjirr????;mayii lu putihh bjirr;negatif
mayi poni nya itu siapa yang motong??;mayi poni nya siapa motong;negatif
Napa harus ada negara isriwil bang ganti nama lu;napa harus negara isriwil ganti nama lu;negatif
ganti Nick name tiktok lu;ganti nick name lu;negatif
ganti nama lu bg;ganti nama lu bg;negatif
sumpah ini di story nya hubner kan;sumpah story nya hubner;negatif
what ??;what;negatif
kurang ajar??;kurang ajar;negatif
cakep dari mna nya yg ada ireng??;cakep mna nya ireng;negatif
"bukannya yg bener ""pake bedak"" ya? ?? aku dengernya juga gitu";bukannya bener pake bedak dengernya;negatif
yah sold out ya padahal pengen banget;sold out padahal pengen;negatif
aku juga cool tone tapi udah item aje;cool tone tapi item aje;negatif
lu kira petrik ??;lu kira petrik;negatif
poninya panjang sbelahh????????;poninya panjang sbelahh;negatif
kelakuan s jeni noh;kelakuan jeni noh;negatif
pantesan????;pantesan;negatif
bisa aj??;bisa aj;negatif
gush gt lh dia pgn bhg dlu gush d bikn nangis' trs;gush gt lh pgn bhg dlu gush bikn nangis;negatif
inget la dia, dia ga amnesia jir;inget la amnesia jir;negatif
si tll;si tll;negatif
apa maksud lo ? lu mau dia nangis setiap hari sampe gila??;apa maksud lo lu mau nangis setiap hari sampe;negatif
Ga usah komen disini dah sibuk bgt hahah;usah komen disini dah sibuk hahah;negatif
Gausah ngetag gitu pls, relain aja ya;gausah ngetag relain;negatif
Gile luu ??;gile luu;negatif
Di awal dia ngmng pph ga si ketika ngmng pante ? Atau salah denger;awal ngmng pph si ketika ngmng pante salah denger;negatif
Trs knpa kocak?;knpa kocak;negatif
Ya terus kamu ngapain komen kocak;terus ngapain komen kocak;negatif
typo;typo;negatif
"setuju!!! guele jugakkkkkkkkkkk
timephoria blm ada refilnya ?? sedih bgt";setuju guele jugakkkkkkkkkkk timephoria blm refilnya sedih;negatif
mending mana sama Make over? kulit kering;mending mana sama make over kulit kering;negatif
timephoria atau something kak;timephoria something kak;negatif
timephoria or skintific kak ? ??;timephoria or skintific kak;negatif
Aku udah pernah pake skintific juga sih,tapi waktu aku timpa bedak padat gitu eh ngecrack,jadi aku beralih ke timephoria sih kak ini menurut kulitku yah kk,gak tau kulit kk nya??;pernah pake skintific sihtapi waktu timpa bedak padat ngecrackjadi beralih timephoria kak menurut kulitku kkgak tau kulit kk nya;negatif
aku putih tangan dari muka tolong??;putih tangan muka tolong;negatif
samaa pliss kalo ngikutin warna asli muka kalo foto keliatan tangannya kek gelap bgtt ni tangan??;samaa kalo ngikutin warna asli muka kalo foto keliatan tangannya kek gelap bgtt ni tangan;negatif
emg snegaja kampung biar tan skin;emg snegaja kampung biar tan skin;negatif
"itu yang sibuk nepok"" muka kaa??";sibuk nepok muka kaa;negatif
kelakuan jen tu ?? ponakan gua jd sebelah poni nya;kelakuan jen tu ponakan gua sebelah poni nya;negatif
siapa lagi kalo bkn si jeni??????;siapa lagi kalo bkn si jeni;negatif
Jen you know sungsang ? @Mamanya kamari ??;jen you know sungsang mamanya kamari;negatif
udah lama tau;lama tau;negatif
"ngatur""";ngatur;negatif
YOU SAID SUNGSANG????????;you said sungsang;negatif
Sungsang anjj??;sungsang anjj;negatif
mak nyaa sendiri wkwkwk;mak nyaa sendiri;negatif
emaknya yg potong kak ????;emaknya potong kak;negatif
artnya mama kamari rumah/dia sering ada di sekitar km kak;artnya mama kamari rumahdia sering sekitar km kak;negatif
namanya aja Baby Kepo ??;namanya baby kepo;negatif
Siapa kmu nyuruh nyuruh;siapa kmu nyuruh nyuruh;negatif
mayi ga mau bgt kesaing??;mayi mau kesaing;negatif
"""gua mintak??"" kamari";gua mintak kamari;negatif
poni si blonde engga lu potong lagi kan til, kok engga panjang panjang??;poni si blonde engga lu potong lagi til kok engga panjang panjang;negatif
masih GK rela poni nya??,,;masih gk rela poni nya;negatif
itu shadeny g ke gelapan ??;shadeny gelapan;negatif
siapa yg potong poni mayi??;siapa potong poni mayi;negatif
Poninyaaaaa??????ko lama bener panjangnya sih till??;poninyaaaaako lama bener panjangnya till;negatif
mereka sebahagia gini di hujat??;sebahagia gini hujat;negatif
ceperr bgt poninya??;ceperr poninya;negatif
Info balap;info balap;negatif
“mayi minta????”;mayi minta;negatif
“Mayi minta”??;mayi minta;negatif
maap mayi ????;maap mayi;negatif
geoll geoll lahh diaaa??????;geoll geoll diaaa;negatif
semalem mimpi kerumah mamari, trs curhat sambil nangis’ ??????;semalem mimpi kerumah mamari curhat sambil nangis;negatif
"sehat-sehat mayi???
yang pacar nya Justin terserah ??";sehatsehat mayi pacar nya justin terserah;negatif
dia bule bngeett tpi jarang ngomong bhs Inggris....;bule bngeett tpi jarang ngomong bhs inggris;negatif
tuh poni lama bgt panjang nya????;tuh poni lama panjang nya;negatif
wahhduhhh??????;wahhduhhh;negatif
"kamari : semoga gue dipantai ga gosong ya Jen
??";kamari semoga gue dipantai gosong jen;negatif
woyy kenapa poni kamariii????;woyy kenapa poni kamariii;negatif
bayikkk ikut campurr bngttt dah ???????;bayikkk ikut campurr bngttt dah;negatif
poni nya gakuat??;poni nya gakuat;negatif
baru sadar mayi poninya miring??;baru sadar mayi poninya miring;negatif
sibuk bngt kya nya yg kanan;sibuk bngt kya nya kanan;negatif
mayi yg secantik itu berkelahi dgn poni yg dipotong emak nya sembarangan ????;mayi secantik berkelahi dgn poni dipotong emak nya sembarangan;negatif
ehh sbrrr ituu prasaan poninya mkinn naik deh??;ehh sbrrr ituu prasaan poninya mkinn naik;negatif
vidionya kaya ngeblur ga sii apa punya aku doang??;vidionya kaya ngeblur sii apa punya doang;negatif
poninya kaya stuck disitu ih??;poninya kaya stuck disitu ih;negatif
adik yang blonde lucu banget cemong’?????? yang rambut item yang ngedumel terserah??;adik blonde lucu cemong rambut item ngedumel terserah;negatif
sehat selalu til, tolong itu kamari bisa di pinjem selamanya ga? ?????;sehat selalu til tolong kamari bisa pinjem selamanya;negatif
poninya menanjak ??;poninya menanjak;negatif
mamari tulung pinjem mayi nya bentaran doang;mamari tulung pinjem mayi nya bentaran doang;negatif
jenn tolong klarifikasi,tu poni mayi siapa yg motong????;jenn tolong klarifikasitu poni mayi siapa motong;negatif
kameranya geseran dikit dong Jen;kameranya geseran dikit jen;negatif
Jen saingan lu bkn cwe laen lg tpi anklu dewek wkwk;jen saingan lu bkn cwe laen tpi anklu dewek;negatif
pantasan Jen nggak gampang stres Krn Neti org dia ada pawang di bule??;pantasan jen gampang stres krn neti org pawang bule;negatif
poni kamari mana woyy;poni kamari mana woyy;negatif
kamari yg sekarang bukan aku kenal dulu yg suka mukul mamah nya yg banyak tingkah nya;kamari sekarang bukan kenal dulu suka mukul mamah nya banyak tingkah nya;negatif
?? dahlah.. cpek;dahlah cpek;negatif
till, yg potong poni nya lemari siape sih???;till potong poni nya lemari siape;negatif
keranjang kuningnya mana kak untuk yang ini?;kuningnya mana kak;netral
tiba tiba banget orang yang mungkin anda kenal ????;tiba tiba orang mungkin anda kenal;netral
Tbtb bgt sekarang udah bisa dandan, padahal dulu masih kecil??;tbtb sekarang bisa dandan padahal dulu masih kecil;netral
poninyaa????;poninyaa;netral
pirang dah dewasa;pirang dah dewasa;netral
poni blonde ga panjang”??;poni blonde panjang;netral
pirang poni crop;pirang poni crop;netral
salfok sama kamari Uda gede ajaaa;salfok sama kamari gede ajaaa;netral
kamari ini ibu nak,jen itu cuma tetangga kita nak??;kamari ibu nakjen cuma tetangga nak;netral
blonde ngalis ??;blonde ngalis;netral
merk apa cushion nya;merk apa cushion nya;netral
perasaan tadi masi 5k... UDH 13K AJA;perasaan tadi masi;netral
cushionnya ada dibio ku no 1??u;cushionnya dibio ku no;netral
